;;;;
;;Solicitação de dados de empregos e empresas do setorde metalurgia, mecânica e material elétrico da região de Chapecó;;
;;Fonte dos dados: RAIS (2019);;
;;Demandante: Cleodete - Simec;;
;;Execução: Observatório Fiesc;;
;;Data: 27/01/2021;;
Município;Setor;Escolaridade;Empregados;
Agrolândia;SERVIÇOS;Superior Incompleto;2;
Agrolândia;SERVIÇOS;Superior Incompleto;3;
Agrolândia;SERVIÇOS;Superior Incompleto;1;
Agrolândia;SERVIÇOS;Superior Incompleto;1;
Agrolândia;SERVIÇOS;Superior Incompleto;2;
Agronômica;TRANSPORTE;Analfabeto;1;
Agronômica;AGROPECUÁRIA;Fundamental completo;1;
Agronômica;INDÚSTRIA;Fundamental completo;58;
Agronômica;COMÉRCIO;Fundamental completo;11;
Agronômica;TRANSPORTE;Fundamental completo;5;
Agronômica;SERVIÇOS;Fundamental completo;2;
Agronômica;SERVIÇOS;Fundamental completo;1;
Agronômica;SERVIÇOS;Fundamental completo;5;
Agronômica;SERVIÇOS;Fundamental completo;2;
Agronômica;INDÚSTRIA;Fundamental incompleto;53;
Agronômica;COMÉRCIO;Fundamental incompleto;17;
Agronômica;TRANSPORTE;Fundamental incompleto;8;
Agronômica;SERVIÇOS;Fundamental incompleto;1;
Agronômica;SERVIÇOS;Fundamental incompleto;4;
Agronômica;SERVIÇOS;Fundamental incompleto;4;
Agronômica;SERVIÇOS;Fundamental incompleto;30;
Agronômica;SERVIÇOS;Fundamental incompleto;2;
Agronômica;AGROPECUÁRIA;Medio completo;6;
Agronômica;INDÚSTRIA;Medio completo;297;
Agronômica;INDÚSTRIA;Medio completo;7;
Agronômica;INDÚSTRIA;Medio completo;1;
Agronômica;COMÉRCIO;Medio completo;133;
Agronômica;TRANSPORTE;Medio completo;36;
Agronômica;SERVIÇOS;Medio completo;13;
Agronômica;SERVIÇOS;Medio completo;2;
Agronômica;SERVIÇOS;Medio completo;4;
Agronômica;SERVIÇOS;Medio completo;11;
Agronômica;SERVIÇOS;Medio completo;5;
Agronômica;SERVIÇOS;Medio completo;50;
Agronômica;SERVIÇOS;Medio completo;6;
Agronômica;SERVIÇOS;Medio completo;2;
Agronômica;SERVIÇOS;Medio completo;7;
Agronômica;INDÚSTRIA;Medio incompleto;38;
Agronômica;INDÚSTRIA;Medio incompleto;1;
Agronômica;INDÚSTRIA;Medio incompleto;1;
Agronômica;COMÉRCIO;Medio incompleto;21;
Agronômica;TRANSPORTE;Medio incompleto;3;
Agronômica;SERVIÇOS;Medio incompleto;2;
Agronômica;SERVIÇOS;Medio incompleto;1;
Agronômica;SERVIÇOS;Medio incompleto;3;
Agronômica;SERVIÇOS;Pós-graduação;1;
Agronômica;INDÚSTRIA;Superior Completo;27;
Agronômica;INDÚSTRIA;Superior Completo;1;
Agronômica;COMÉRCIO;Superior Completo;19;
Agronômica;TRANSPORTE;Superior Completo;6;
Agronômica;SERVIÇOS;Superior Completo;1;
Agronômica;SERVIÇOS;Superior Completo;11;
Agronômica;SERVIÇOS;Superior Completo;8;
Agronômica;SERVIÇOS;Superior Completo;3;
Agronômica;SERVIÇOS;Superior Completo;71;
Agronômica;INDÚSTRIA;Superior Incompleto;17;
Agronômica;INDÚSTRIA;Superior Incompleto;1;
Agronômica;COMÉRCIO;Superior Incompleto;22;
Agronômica;SERVIÇOS;Superior Incompleto;2;
Agronômica;SERVIÇOS;Superior Incompleto;1;
Agronômica;SERVIÇOS;Superior Incompleto;7;
Agronômica;SERVIÇOS;Superior Incompleto;7;
Agronômica;SERVIÇOS;Superior Incompleto;1;
Água Doce;AGROPECUÁRIA;Analfabeto;8;
Água Doce;INDÚSTRIA;Analfabeto;2;
Água Doce;COMÉRCIO;Analfabeto;2;
Água Doce;AGROPECUÁRIA;Fundamental completo;69;
Água Doce;INDÚSTRIA;Fundamental completo;28;
Água Doce;INDÚSTRIA;Fundamental completo;6;
Água Doce;INDÚSTRIA;Fundamental completo;3;
Água Doce;COMÉRCIO;Fundamental completo;25;
Água Doce;TRANSPORTE;Fundamental completo;91;
Água Doce;SERVIÇOS;Fundamental completo;4;
Água Doce;SERVIÇOS;Fundamental completo;1;
Água Doce;SERVIÇOS;Fundamental completo;22;
Água Doce;SERVIÇOS;Fundamental completo;5;
Água Doce;SERVIÇOS;Fundamental completo;2;
Água Doce;AGROPECUÁRIA;Fundamental incompleto;154;
Água Doce;INDÚSTRIA;Fundamental incompleto;72;
Água Doce;INDÚSTRIA;Fundamental incompleto;2;
Água Doce;INDÚSTRIA;Fundamental incompleto;31;
Água Doce;INDÚSTRIA;Fundamental incompleto;5;
Água Doce;COMÉRCIO;Fundamental incompleto;41;
Água Doce;TRANSPORTE;Fundamental incompleto;85;
Água Doce;SERVIÇOS;Fundamental incompleto;14;
Água Doce;SERVIÇOS;Fundamental incompleto;1;
