"Município";"COD_SEC";"saldo_202012";"saldo_202102"
"Campo Erê";"I";-1;1
"Campo Erê";"J";-1;0
"Campo Erê";"K";-1;NA
"Campo Erê";"M";NA;0
"Campo Erê";"N";1;-2
"Campo Erê";"P";-2;NA
"Campo Erê";"Q";-3;1
"Campo Erê";"S";-1;1
"Campos Novos";"A";-10;-2
"Campos Novos";"B";1;NA
"Campos Novos";"C";-66;59
"Campos Novos";"D";NA;4
"Campos Novos";"E";NA;2
"Campos Novos";"F";1;-7
"Campos Novos";"G";-13;19
"Campos Novos";"H";7;4
"Campos Novos";"I";-5;5
"Campos Novos";"J";NA;1
"Campos Novos";"K";-1;-1
"Campos Novos";"M";-6;8
"Campos Novos";"N";5;-1
"Campos Novos";"P";-2;10
"Campos Novos";"Q";4;-3
"Campos Novos";"R";-1;0
"Campos Novos";"S";-42;43
"Canelinha";"B";0;0
"Canelinha";"C";-47;50
"Canelinha";"F";-1;1
"Canelinha";"G";-1;6
"Canelinha";"H";2;1
"Canelinha";"I";-1;1
"Canelinha";"J";1;0
"Canelinha";"L";NA;1
"Canelinha";"N";0;NA
"Canelinha";"O";-86;88
"Canelinha";"P";-8;4
"Canelinha";"Q";0;2
"Canelinha";"S";NA;1
"Canoinhas";"A";-6;18
"Canoinhas";"B";-2;-1
"Canoinhas";"C";-30;104
"Canoinhas";"E";0;5
"Canoinhas";"F";11;54
"Canoinhas";"G";9;19
"Canoinhas";"H";3;-2
"Canoinhas";"I";-1;18
"Canoinhas";"J";2;-1
"Canoinhas";"K";5;1
"Canoinhas";"L";-1;0
"Canoinhas";"M";-6;-3
"Canoinhas";"N";-8;10
"Canoinhas";"O";NA;-2
"Canoinhas";"P";-25;32
"Canoinhas";"Q";4;0
"Canoinhas";"R";NA;-1
"Canoinhas";"S";-1;7
"Canoinhas";"T";2;-1
"Capão Alto";"A";1;NA
"Capão Alto";"B";1;-3
"Capão Alto";"C";0;3
"Capão Alto";"F";1;2
"Capão Alto";"G";-1;0
"Capão Alto";"H";-1;5
"Capão Alto";"I";1;4
"Capinzal";"A";-2;4
"Capinzal";"C";-11;105
"Capinzal";"F";-10;-4
"Capinzal";"G";-14;-3
"Capinzal";"H";-1;0
"Capinzal";"I";6;1
"Capinzal";"J";1;2
"Capinzal";"K";1;NA
"Capinzal";"L";NA;1
"Capinzal";"M";2;-1
"Capinzal";"N";5;-8
"Capinzal";"P";0;-2
"Capinzal";"Q";1;5
"Capinzal";"R";-2;0
"Capinzal";"S";1;1
"Capivari de Baixo";"A";-1;23
"Capivari de Baixo";"C";-14;0
"Capivari de Baixo";"D";NA;4
"Capivari de Baixo";"F";-41;11
"Capivari de Baixo";"G";15;-19
"Capivari de Baixo";"H";-1;0
"Capivari de Baixo";"I";3;5
"Capivari de Baixo";"J";NA;0
"Capivari de Baixo";"L";NA;3
"Capivari de Baixo";"M";-1;2
"Capivari de Baixo";"N";2;2
"Capivari de Baixo";"P";1;17
"Capivari de Baixo";"Q";0;1
"Capivari de Baixo";"R";1;0
"Capivari de Baixo";"S";-13;-2
"Catanduvas";"A";-1;4
"Catanduvas";"C";-3;8
"Catanduvas";"F";NA;-1
"Catanduvas";"G";6;19
"Catanduvas";"H";-4;-1
"Catanduvas";"I";2;2
"Catanduvas";"J";1;1
"Catanduvas";"K";-1;0
"Catanduvas";"L";NA;-1
"Catanduvas";"M";0;3
"Catanduvas";"N";-1;-1
"Catanduvas";"P";-2;18
"Catanduvas";"Q";1;-2
"Catanduvas";"S";NA;6
"Caxambu do Sul";"A";1;0
"Caxambu do Sul";"C";-3;22
"Caxambu do Sul";"F";-1;NA
