,Município,COD_SEC,saldo_202012,saldo_202102,vice_presidencia
471,Bombinhas,I,304.0,-109.0,Foz do Rio Itajaí
472,Bombinhas,J,-2.0,-6.0,Foz do Rio Itajaí
473,Bombinhas,K,1.0,1.0,Foz do Rio Itajaí
474,Bombinhas,L,6.0,-3.0,Foz do Rio Itajaí
475,Bombinhas,M,5.0,8.0,Foz do Rio Itajaí
476,Bombinhas,N,22.0,2.0,Foz do Rio Itajaí
477,Bombinhas,O,-1.0,-2.0,Foz do Rio Itajaí
478,Bombinhas,P,0.0,3.0,Foz do Rio Itajaí
479,Bombinhas,Q,7.0,-3.0,Foz do Rio Itajaí
480,Bombinhas,R,2.0,2.0,Foz do Rio Itajaí
481,Bombinhas,S,12.0,3.0,Foz do Rio Itajaí
482,Botuverá,A,-1.0,2.0,Vale do Itajaí Mirim
483,Botuverá,B,3.0,6.0,Vale do Itajaí Mirim
484,Botuverá,C,4.0,17.0,Vale do Itajaí Mirim
485,Botuverá,E,,2.0,Vale do Itajaí Mirim
486,Botuverá,F,-1.0,,Vale do Itajaí Mirim
