,Column1,Município,Setor,Porte,Empresas,Empregados,Unnamed: 5,Fonte dos dados: RAIS (2019),vice_presidencia
241,241,Balneário Arroio do Silva,AGROPECUÁRIA,Micro,3,8,0,0,Sul
242,242,Balneário Arroio do Silva,COMÉRCIO,Micro,83,153,0,0,Sul
243,243,Balneário Arroio do Silva,COMÉRCIO,Pequena,3,47,0,0,Sul
244,244,Balneário Arroio do Silva,INDÚSTRIA,Micro,37,112,0,0,Sul
245,245,Balneário Arroio do Silva,INDÚSTRIA,Pequena,2,99,0,0,Sul
246,246,Balneário Arroio do Silva,SERVIÇOS,Grande,1,444,0,0,Sul
247,247,Balneário Arroio do Silva,SERVIÇOS,Micro,58,122,0,0,Sul
248,248,Balneário Arroio do Silva,SERVIÇOS,Média,1,74,0,0,Sul
249,249,Balneário Arroio do Silva,SERVIÇOS,Pequena,2,36,0,0,Sul
250,250,Balneário Arroio do Silva,TRANSPORTE,Micro,6,6,0,0,Sul
251,251,Balneário Barra do Sul,AGROPECUÁRIA,Micro,3,3,0,0,Norte-Nordeste
252,252,Balneário Barra do Sul,AGROPECUÁRIA,Pequena,1,18,0,0,Norte-Nordeste
253,253,Balneário Barra do Sul,COMÉRCIO,Micro,87,188,0,0,Norte-Nordeste
254,254,Balneário Barra do Sul,COMÉRCIO,Pequena,9,141,0,0,Norte-Nordeste
255,255,Balneário Barra do Sul,INDÚSTRIA,Micro,41,111,0,0,Norte-Nordeste
256,256,Balneário Barra do Sul,INDÚSTRIA,Pequena,3,133,0,0,Norte-Nordeste
257,257,Balneário Barra do Sul,SERVIÇOS,Grande,1,356,0,0,Norte-Nordeste
258,258,Balneário Barra do Sul,SERVIÇOS,Micro,51,101,0,0,Norte-Nordeste
259,259,Balneário Barra do Sul,SERVIÇOS,Pequena,2,39,0,0,Norte-Nordeste
260,260,Balneário Barra do Sul,TRANSPORTE,Micro,11,38,0,0,Norte-Nordeste
261,261,Balneário Barra do Sul,TRANSPORTE,Pequena,2,25,0,0,Norte-Nordeste
262,262,Balneário Camboriú,AGROPECUÁRIA,Micro,9,31,0,0,Foz do Rio Itajaí
263,263,Balneário Camboriú,AGROPECUÁRIA,Pequena,1,11,0,0,Foz do Rio Itajaí
264,264,Balneário Camboriú,COMÉRCIO,Grande,11,2311,0,0,Foz do Rio Itajaí
265,265,Balneário Camboriú,COMÉRCIO,Micro,2168,1757,0,0,Foz do Rio Itajaí
266,266,Balneário Camboriú,COMÉRCIO,Média,13,1056,0,0,Foz do Rio Itajaí
267,267,Balneário Camboriú,COMÉRCIO,Pequena,286,4291,0,0,Foz do Rio Itajaí
268,268,Balneário Camboriú,INDÚSTRIA,Grande,1,680,0,0,Foz do Rio Itajaí
269,269,Balneário Camboriú,INDÚSTRIA,Micro,886,1956,0,0,Foz do Rio Itajaí
270,270,Balneário Camboriú,INDÚSTRIA,Média,7,1475,0,0,Foz do Rio Itajaí
271,271,Balneário Camboriú,INDÚSTRIA,Pequena,75,2541,0,0,Foz do Rio Itajaí
272,272,Balneário Camboriú,SERVIÇOS,Grande,13,7328,0,0,Foz do Rio Itajaí
273,273,Balneário Camboriú,SERVIÇOS,Micro,3347,1838,0,0,Foz do Rio Itajaí
274,274,Balneário Camboriú,SERVIÇOS,Média,29,2148,0,0,Foz do Rio Itajaí
275,275,Balneário Camboriú,SERVIÇOS,Pequena,474,6526,0,0,Foz do Rio Itajaí
276,276,Balneário Camboriú,TRANSPORTE,Grande,1,123,0,0,Foz do Rio Itajaí
277,277,Balneário Camboriú,TRANSPORTE,Micro,101,120,0,0,Foz do Rio Itajaí
278,278,Balneário Camboriú,TRANSPORTE,Média,3,245,0,0,Foz do Rio Itajaí
279,279,Balneário Camboriú,TRANSPORTE,Pequena,16,271,0,0,Foz do Rio Itajaí
