,Município,pib,pib_per_capita,populacaoFonte dos dados: IBGE (2018),vice_presidencia
136,Jardinópolis,R$ 39803000,24954.8589341693,1595,Oeste
137,Joaçaba,R$ 1929064000,64675.0930365105,29827,Centro-Oeste
138,Joinville,R$ 30785682000,52792.5898234398,583144,Norte-Nordeste
139,José Boiteux,R$ 102234000,20508.3249749248,4985,Alto Vale do Itajaí
140,Jupiá,R$ 56788000,26913.7440758294,2110,Oeste
141,Lacerdópolis,R$ 92184000,41061.9153674833,2245,Centro-Oeste
142,Lages,R$ 5103843000,32355.4325707004,157743,Serra Catarinense
143,Laguna,R$ 900499000,19791.1868131868,45500,Litoral Sul
144,Lajeado Grande,R$ 41355000,28778.7056367432,1437,Oeste
145,Laurentino,R$ 267676000,38934.6909090909,6875,Alto Vale do Itajaí
146,Lauro Muller,R$ 373987000,24646.5664953209,15174,Sul
147,Lebon Régis,R$ 246849000,20402.4299528887,12099,Centro-Norte
148,Leoberto Leal,R$ 93972000,30480.7006162828,3083,Vale do Itajaí Mirim
149,Lindóia do Sul,R$ 107264000,23420.0873362445,4580,Alto Uruguai Catarinense
150,Lontras,R$ 322170000,26977.8931502261,11942,Alto Vale do Itajaí
151,Luiz Alves,R$ 581065000,46083.353160441,12609,Foz do Rio Itajaí
152,Luzerna,R$ 170822000,30042.5606753429,5686,Centro-Oeste
153,Macieira,R$ 48701000,27298.7668161435,1784,Centro-Norte
154,Mafra,R$ 1960223000,34993.3591588268,56017,Planalto Norte
155,Major Gercino,R$ 49334000,14383.0903790087,3430,Vale do Itajaí Mirim
156,Major Vieira,R$ 210905000,26205.8896620278,8048,Centro-Norte
157,Maracajá,R$ 197366000,27385.3198279451,7207,Sul
158,Maravilha,R$ 1288638000,50727.7880565288,25403,Oeste
159,Marema,R$ 57670000,31240.5200433369,1846,Oeste
160,Massaranduba,R$ 548048000,32809.3869731801,16704,Vale do Itapocu
161,Matos Costa,R$ 51803000,20235.546875,2560,Centro-Norte
162,Meleiro,R$ 239695000,34105.7199772339,7028,Sul
163,Mirim Doce,R$ 52962000,22672.0890410959,2336,Alto Vale do Itajaí
164,Modelo,R$ 115056000,27394.2857142857,4200,Oeste
165,Mondaí,R$ 656580000,56640.7867494824,11592,Extremo Oeste
166,Monte Carlo,R$ 158881000,16172.740228013,9824,Centro-Oeste
167,Monte Castelo,R$ 176188000,21278.7439613527,8280,Planalto Norte
168,Morro da Fumaça,R$ 642829000,36437.4220609908,17642,Sul
169,Morro Grande,R$ 104794000,36160.8005521049,2898,Sul
170,Navegantes,R$ 3820584000,48187.9800718925,79285,Foz do Rio Itajaí
171,Nova Erechim,R$ 163899000,33144.3882709808,4945,Oeste
172,Nova Itaberaba,R$ 107211000,24742.9033002539,4333,Oeste
173,Nova Trento,R$ 591685000,41341.8809390721,14312,Vale do Itajaí Mirim
174,Nova Veneza,R$ 725540000,48411.2897844799,14987,Sul
175,Novo Horizonte,R$ 91411000,36844.417573559,2481,Oeste
176,Orleans,R$ 907252000,39817.9504059688,22785,Sul
177,Otacílio Costa,R$ 755963000,40840.7887628309,18510,Serra Catarinense
178,Ouro,R$ 166184000,22712.0404537379,7317,Centro-Oeste
179,Ouro Verde,R$ 87128000,39123.4845083071,2227,Oeste
180,Paial,R$ 41074000,26723.4873129473,1537,Alto Uruguai Catarinense
181,Painel,R$ 47342000,20034.7016504443,2363,Serra Catarinense
182,Palhoça,R$ 5489676000,32626.3439102812,168259,Sudeste
183,Palma Sola,R$ 224913000,30088.6956521739,7475,Extremo Oeste
184,Palmeira,R$ 102077000,39215.1363810987,2603,Serra Catarinense
185,Palmitos,R$ 621046000,38378.8159683599,16182,Oeste
186,Papanduva,R$ 599305000,31184.5665521907,19218,Planalto Norte
187,Paraíso,R$ 101003000,28734.8506401138,3515,Extremo Oeste
188,Passo de Torres,R$ 164527000,19144.4030719106,8594,Sul
189,Passos Maia,R$ 138417000,33066.6507405638,4186,Oeste
190,Paulo Lopes,R$ 190304000,25654.3542733891,7418,Sudeste
191,Pedras Grandes,R$ 132721000,33180.25,4000,Litoral Sul
192,Penha,R$ 743896000,23419.4685807833,31764,Foz do Rio Itajaí
193,Peritiba,R$ 85035000,30218.5501066098,2814,Alto Uruguai Catarinense
194,Pescaria Brava,R$ 100329000,10010.8760726402,10022,Litoral Sul
195,Petrolândia,R$ 173692000,29089.2647797689,5971,Alto Vale do Itajaí
196,Pinhalzinho,R$ 1122662000,56398.1714056064,19906,Oeste
197,Pinheiro Preto,R$ 161559000,45988.8983774552,3513,Centro-Norte
198,Piratuba,R$ 615050000,155119.798234552,3965,Alto Uruguai Catarinense
199,Planalto Alegre,R$ 94867000,33286.6666666667,2850,Oeste
200,Pomerode,R$ 2026616000,61647.98929245,32874,Vale do Itajaí
201,Ponte Alta,R$ 114165000,24218.2859567246,4714,Serra Catarinense
202,Ponte Alta do Norte,R$ 115306000,33833.9201877934,3408,Centro-Norte
203,Ponte Serrada,R$ 226905000,19642.0533240997,11552,Oeste
204,Porto Belo,R$ 1177910000,56537.8707881348,20834,Foz do Rio Itajaí
205,Porto União,R$ 755314000,21427.3475177305,35250,Centro-Norte
206,Pouso Redondo,R$ 483992000,28157.0772005352,17189,Alto Vale do Itajaí
207,Praia Grande,R$ 160286000,21879.0608790609,7326,Sul
208,Presidente Castello Branco,R$ 45954000,28901.8867924528,1590,Alto Uruguai Catarinense
209,Presidente Getúlio,R$ 712052000,41362.3003194888,17215,Alto Vale do Itajaí
210,Presidente Nereu,R$ 52784000,23049.7816593886,2290,Vale do Itajaí Mirim
211,Princesa,R$ 71459000,24547.9216763999,2911,Extremo Oeste
212,Quilombo,R$ 352659000,35457.3697969033,9946,Oeste
213,Rancho Queimado,R$ 117584000,40998.6052998605,2868,Sudeste
214,Rio das Antas,R$ 191048000,30774.4845360825,6208,Centro-Norte
215,Rio do Campo,R$ 148569000,24848.4696437531,5979,Alto Vale do Itajaí
216,Rio do Oeste,R$ 185465000,24874.597639485,7456,Alto Vale do Itajaí
217,Rio do Sul,R$ 2719646000,38796.6619115549,70100,Alto Vale do Itajaí
218,Rio dos Cedros,R$ 331820000,28748.916998787,11542,Vale do Itajaí
219,Rio Fortuna,R$ 238298000,51792.6537709194,4601,Litoral Sul
220,Rio Negrinho,R$ 1158012000,27502.3037096851,42106,Planalto Norte
221,Rio Rufino,R$ 48525000,19550.7655116841,2482,Serra Catarinense
222,Riqueza,R$ 113274000,24433.5634167386,4636,Oeste
223,Rodeio,R$ 285413000,24814.2062250043,11502,Vale do Itajaí
224,Romelândia,R$ 84613000,17303.2719836401,4890,Oeste
225,Salete,R$ 197596000,25910.8313663782,7626,Alto Vale do Itajaí
226,Saltinho,R$ 70322000,18466.9117647059,3808,Oeste
227,Salto Veloso,R$ 171646000,36676.4957264957,4680,Centro-Norte
228,Sangão,R$ 319407000,25663.4260003214,12446,Litoral Sul
229,Santa Cecília,R$ 470773000,28120.9605160982,16741,Centro-Norte
230,Santa Helena,R$ 70075000,31186.025812194,2247,Extremo Oeste
231,Santa Rosa de Lima,R$ 50668000,23709.8736546561,2137,Litoral Sul
232,Santa Rosa do Sul,R$ 132838000,15931.6382825618,8338,Sul
233,Santa Terezinha,R$ 181328000,20603.1132825815,8801,Alto Vale do Itajaí
234,Santa Terezinha do Progresso,R$ 52365000,21080.9178743961,2484,Oeste
235,Santiago do Sul,R$ 33849000,26321.1508553655,1286,Oeste
236,Santo Amaro da Imperatriz,R$ 848974000,37065.0076402532,22905,Sudeste
237,São Bento do Sul,R$ 3198188000,38266.8230113908,83576,Planalto Norte
238,São Bernardino,R$ 63726000,26708.2984073764,2386,Oeste
239,São Bonifácio,R$ 71441000,24961.9147449336,2862,Sudeste
240,São Carlos,R$ 424614000,37942.4537574837,11191,Oeste
241,São Cristovão do Sul,R$ 158741000,28867.2485906528,5499,Centro-Norte
242,São Domingos,R$ 327326000,34612.033414402,9457,Oeste
243,São Francisco do Sul,R$ 4142714000,80165.5281846856,51677,Norte-Nordeste
244,São João Batista,R$ 898814000,24798.9736232204,36244,Sudeste
245,São João do Itaperiú,R$ 170374000,45960.0755327758,3707,Vale do Itapocu
246,São João do Oeste,R$ 221150000,34777.4807359648,6359,Extremo Oeste
247,São João do Sul,R$ 192693000,26468.8186813187,7280,Sul
248,São Joaquim,R$ 747204000,27919.2915592422,26763,Serra Catarinense
249,São José,R$ 10607483000,43665.3109781951,242927,Sudeste
250,São José do Cedro,R$ 409458000,29589.391530568,13838,Extremo Oeste
251,São José do Cerrito,R$ 249340000,29609.3100581879,8421,Serra Catarinense
252,São Lourenço do Oeste,R$ 960834000,40274.7202079054,23857,Oeste
